Specie,Total,Anthophila,New_Justine,DG,HS,LMDI,inat_25_04,iNaturalist,Spipoll
Hylaeus sp,1,0,0,1,0,0,0,0,0
Hylaeus styriacus,6,0,0,0,0,0,3,3,0
Hylaeus sulphuripes,79,15,0,0,0,0,56,8,0
Hylaeus variegatus,642,73,0,0,0,18,426,125,0
Icteranthidium grohmanni,141,19,0,0,0,17,79,26,0
Icteranthidium laterale,73,5,0,0,0,10,49,9,0
Lasioglossum,299,0,0,0,76,223,0,0,0
Lasioglossum albipes,47,21,2,1,0,0,15,8,0
Lasioglossum albocinctum,17,0,0,3,0,11,3,0,0
Lasioglossum bimaculatum,6,0,0,1,4,1,0,0,0
Lasioglossum bluethgeni,11,0,0,0,0,0,10,1,0
Lasioglossum buccale,6,0,0,0,0,6,0,0,0
Lasioglossum calceatum,155,16,5,1,0,33,78,22,0
Lasioglossum calceatus,2,0,0,0,2,0,0,0,0
Lasioglossum clypeare,32,0,0,1,0,7,23,1,0
Lasioglossum corvinum,13,10,0,3,0,0,0,0,0
Lasioglossum costulatum,47,9,0,1,0,0,32,5,0
Lasioglossum cupromicans,1,0,0,0,1,0,0,0,0
Lasioglossum discum,73,65,0,3,0,5,0,0,0
Lasioglossum discus,29,0,0,0,0,0,27,2,0
Lasioglossum euboeense,2,0,0,2,0,0,0,0,0
Lasioglossum fulvicorne,17,8,0,2,0,7,0,0,0
Lasioglossum glabriusculum,50,0,0,1,0,9,40,0,0
Lasioglossum interruptum,173,27,0,1,1,4,126,14,0
Lasioglossum laevigatum,51,0,0,0,6,12,33,0,0
Lasioglossum laticeps,85,26,0,0,0,11,48,0,0
Lasioglossum lativentre,1,0,0,1,0,0,0,0,0
Lasioglossum leucopus,5,0,0,1,0,0,3,1,0
Lasioglossum leucozonium,333,35,4,1,0,20,250,23,0
Lasioglossum majus,12,0,0,1,7,0,0,4,0
Lasioglossum malachurum,267,73,0,3,0,5,178,8,0
Lasioglossum marginatum,277,13,0,2,0,0,255,7,0
Lasioglossum mediterraneum,1,0,0,1,0,0,0,0,0
Lasioglossum minutulum,5,0,0,0,5,0,0,0,0
Lasioglossum morio,145,89,2,0,1,11,35,7,0
Lasioglossum nigripes,45,0,0,2,1,6,31,5,0
Lasioglossum nitidulum,26,0,0,0,11,11,4,0,0
Lasioglossum pallens,104,45,9,3,0,14,33,0,0
Lasioglossum pauperatum,1,0,0,0,0,0,0,1,0
Lasioglossum pauxillum,85,0,0,1,0,0,82,2,0
Lasioglossum politum,196,86,4,0,0,2,104,0,0
